Row	BRCA_H_TCGA_BH_A1FR_11B_42R_A13Q_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07	BRCA_H_TCGA_BH_A0DD_11A_23R_A12P_07	BRCA_H_TCGA_A7_A13E_11A_61R_A12P_07	BRCA_H_TCGA_AC_A2FF_11A_13R_A17B_07	BRCA_H_TCGA_E2_A1LB_11A_22R_A144_07	BRCA_H_TCGA_BH_A1FN_11A_34R_A13Q_07	BRCA_H_TCGA_BH_A0DL_11A_13R_A115_07	BRCA_H_TCGA_E9_A1RD_11A_33R_A157_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07_1
NUFIP2	14.839920057609	11.0200020789384	9.44848010650174	10.5951614680554	14.3062913014416	16.0464561050778	14.0776986806451	15.6023807869963	11.4359375752582	11.0200020789384
NUMA1	66.3777193939405	52.0852102443517	65.4144217287901	44.4041011572029	65.8571693562889	124.27035693415	48.1842415997564	88.3117558943295	59.9197679579823	52.0852102443517
NUMB	32.9925891904113	22.280403755723	27.2648270280263	24.5356512435059	27.5195301355163	34.7472826951305	29.0584610024589	29.7964983039031	27.1903958526083	22.280403755723
NUMBL	4.79456538967349	8.39304502597924	15.7575548705347	7.97898602335216	5.22207560767732	3.41622928790065	5.06355021148352	5.41766818024126	9.96282705670403	8.39304502597924
NUP107	14.4689728704339	12.1842086780063	12.8033865975398	12.2999740474224	16.2873617724968	15.6090126345601	20.3259644527261	16.4194957839777	13.8484879742299	12.1842086780063
NUP133	17.3134858519111	13.5263339288861	13.0446557696831	17.0520339661852	19.0171143715875	20.1465323652437	23.0954361577708	20.5615672698369	16.8521131452444	13.5263339288861
NUP153	14.9888328404339	10.9298500669613	12.3830019427853	12.6997935470217	16.6108869892468	19.2337263721016	15.3837769792761	16.2285341738191	12.979065872828	10.9298500669613
NUP155	6.28764536880169	4.60259587788291	5.36111935117283	6.41704604391421	8.42096695683949	8.69905504700446	6.22039766572602	7.08217505982557	6.12836368135285	4.60259587788291
NUP160	12.7087182572499	11.2820458124958	10.3434987614518	10.906342420705	14.6894530216534	15.7106705771723	14.3177976335535	13.9796071844079	11.3661814101958	11.2820458124958
NUP188	13.2832685854227	10.2100123007352	13.3714983691646	15.9763242366229	18.9775548563618	16.2387092722007	13.406255565354	15.3023248524006	10.5290863391077	10.2100123007352
NUP205	10.7415666438712	7.27672979575902	6.9802739699457	8.73431267088323	13.4131243725755	14.594600369076	12.0779660403876	12.7553791772647	8.4359517897023	7.27672979575902
NUP210	6.37954763499313	1.46891357804774	1.14492387359413	2.85240290904465	12.734367978999	9.37856203038725	5.79122688104912	6.89708883319719	2.30172209639308	1.46891357804774
NUP210L	0.0264531607250309	0.0195622062133752	0.00976548188997819	0.00774930270087274	0.0266539278047197	0.0256094099139926	0.0447630722455114	0.0381168425813847	0.266840564942122	0.0195622062133752
NUP210P1	0	0	0	0	0.0162700709160815	0	0.0166981475740803	0	0	0
NUP214	11.4087541024332	11.8219986531593	12.420365454218	13.5204330005503	15.9324047086554	19.1068256402226	14.6164974557193	15.5584171023064	12.6755967750489	11.8219986531593
NUP35	7.82910423072295	3.93179500896918	3.91613564712563	5.70814206399026	9.18170017933665	10.726666344054	13.6153811744271	8.32598086720696	5.47854890204562	3.93179500896918
NUP37	12.6759228804354	10.9240034943943	9.78793574487985	11.0076240328475	14.796664095628	14.0901789272114	20.3693565703508	12.9046457196122	11.08339951715	10.9240034943943
NUP43	13.7280011239819	7.56533755915006	6.55809632540632	7.7291742496006	12.9339960425483	14.2156602260192	15.8097957084942	12.5186261942312	8.75106936083766	7.56533755915006
NUP50	12.6953900593472	8.89812891497633	6.91597901081648	9.46677836227313	13.0063556180489	12.5062625890823	15.0769611250047	13.6389787685156	9.84360825361569	8.89812891497633
NUP54	20.4026164007603	16.8246973361013	14.6488893546885	15.6359300245861	20.1316208824429	21.8940250715062	27.7948823919297	21.1236541855141	19.5724761699749	16.8246973361013
NUP62	17.5919610089929	13.627193929681	12.4594758536415	14.3520319357295	25.3348606780772	27.7032473186204	21.4058163160653	20.8865792693461	12.8217156224021	13.627193929681
NUP62CL	1.67783901039047	0.222032150749176	0.130398557268676	0.362167751879381	0.533865164633467	0.952610250599978	1.38638218212676	0.672573448869555	0.412998484947207	0.222032150749176
NUP85	16.7649395736795	13.1445836408599	11.2345889846547	13.5994696047014	15.9239147729392	15.5690774629896	21.0267467361311	15.4462843702169	14.4847915196629	13.1445836408599
NUP88	14.9984756224465	13.4941839064984	14.0052144516038	16.4330532820188	17.7828810209632	20.4669788175075	21.1938644684341	15.5267021312941	14.82342750282	13.4941839064984
NUP93	9.50501360180608	9.66718536783534	8.40895238843039	10.2484549072924	14.797217930182	10.9159666723084	13.4978370494114	11.541141624531	8.46675659945196	9.66718536783534
